,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
9505,272431333,2,1,0,10,66.0,1,4,77524.52,75981.08,-0.20287893524772105,0.0,-0.006954139307961347,0,1,1,84298.8
9506,274639298,2,1,0,5,56.2,7,30,106839.39,75981.08,-0.18727526389609417,0.0,-0.006922877564131793,0,1,1,44493.82
9507,273981253,2,1,0,5,43.0,4,5,77524.52,75981.08,-0.18727526389609417,0.0,-0.006922877564131793,1,1,1,93854.1
9508,274996168,1,0,0,10,45.0,11,24,45290.64,64696.19,-0.26529362065422857,0.0,-0.007079186283279562,1,1,1,173624.09
9509,274945284,1,0,0,10,45.0,11,24,45290.64,64696.19,-0.22628444227516137,0.0,-0.0070010319237056775,1,1,1,84298.8
9510,274781593,4,0,0,5,151.0,3,25,151494.07,167618.14,1.2950735145084595,0.0,-0.00395301190032419,0,1,1,93854.1
9511,274250552,2,0,1,8,46.0,5,12,45290.64,75981.08,-0.3589156487639899,0.0,-0.007266756746256884,1,1,1,44493.82
9512,274775810,2,1,0,11,50.0,10,12,45290.64,64696.19,-0.18727526389609417,0.0,-0.006922877564131793,1,1,1,84298.8
9513,273857715,4,1,0,12,240.0,4,14,106839.39,167618.14,2.075257082089804,0.0,-0.0023899247088465052,1,1,1,84298.8
9514,274545649,1,0,0,15,39.0,13,17,45290.64,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,93854.1
9515,274704115,3,1,1,10,133.0,20,31,106839.39,75981.08,1.373091871266594,0.0,-0.003796703181176422,1,1,1,93854.1
9516,274265208,1,0,0,14,38.0,3,17,45290.64,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,84298.8
9517,273875596,1,0,0,3,39.0,13,17,45290.64,75981.08,-0.30430279903329577,0.0,-0.007157340642853446,1,1,1,44493.82
9518,274815859,2,1,0,10,50.7,4,17,45290.64,75981.08,-0.2106807709235345,0.0,-0.007860729879018404,1,1,1,84298.8
9519,274497761,2,1,0,8,70.0,18,18,106839.39,75981.08,0.2028165198945779,0.0,-0.006141333968392951,1,1,1,84298.8
9520,274779766,4,1,1,4,180.0,14,25,124970.37,167618.14,0.9049817307177876,0.0,-0.004734555496063033,0,1,1,173624.09
9521,274738926,4,0,0,20,133.0,20,23,106839.39,167618.14,1.373091871266594,0.0,-0.003796703181176422,1,1,1,84298.8
9522,274950104,3,1,1,11,130.0,21,23,106839.39,167618.14,1.373091871266594,0.0,-0.003796703181176422,1,1,1,173624.09
9523,258456196,4,0,0,10,240.0,4,21,151494.07,167618.14,2.309312152364207,0.0,-0.0019209985514031995,1,1,1,84298.8
9524,274838371,1,0,0,7,32.0,2,8,45290.64,75981.08,-0.343311977412363,0.0,-0.00723549500242733,1,1,1,84298.8
9525,267365799,1,0,0,15,40.0,11,12,45290.64,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
